,user_id,business_id,stars
0,tL2pS5UOmN6aAOi3Z-qFGg,ZibmYdOPKLlqDM9oR6xzOA,2
2,tL2pS5UOmN6aAOi3Z-qFGg,q3dJQtwZQrrurNT-1bNKgQ,4
3,tL2pS5UOmN6aAOi3Z-qFGg,So132GP_uy3XbGs0KNyzyw,5
7,tL2pS5UOmN6aAOi3Z-qFGg,EAwh1OmG6t6p3nRaZOW_AA,2
8,tL2pS5UOmN6aAOi3Z-qFGg,g8oxQ1Ji9mr9PMjhEfaWSg,2
11,tL2pS5UOmN6aAOi3Z-qFGg,XgsIf7s2zM-cC29WUD-NZQ,5
13,3wB-JjsUjkvdNUDRnChsVg,0AQnRQw34IQW9-1gJkYnMA,2
14,3wB-JjsUjkvdNUDRnChsVg,LYWbyu1EQM2o5hwHG5_Ldg,3
16,3wB-JjsUjkvdNUDRnChsVg,ruWTngdiC68O9la27hvvHw,4
17,3wB-JjsUjkvdNUDRnChsVg,QXV3L_QFGj8r6nWX2kS2hA,4
18,3wB-JjsUjkvdNUDRnChsVg,L_ZLtfHvfzfoNVQ0-okTXg,4
19,3wB-JjsUjkvdNUDRnChsVg,PDIh1lVtKlUqPJROXYJQvQ,4
20,3wB-JjsUjkvdNUDRnChsVg,fQt4D34vcJNtEf8Q4zte3w,4
21,3wB-JjsUjkvdNUDRnChsVg,SsN-SaGGkJn2Qm-jSDQ4aQ,3
22,3wB-JjsUjkvdNUDRnChsVg,0NmTwqYEQiKErDv4a55obg,4
24,3wB-JjsUjkvdNUDRnChsVg,d_L-rfS1vT3JMzgCUGtiow,3
25,3wB-JjsUjkvdNUDRnChsVg,QJatAcxYgK1Zp9BRZMAx7g,4
26,3wB-JjsUjkvdNUDRnChsVg,uuGL8diLlHfeUeFuod3F-w,3
27,3wB-JjsUjkvdNUDRnChsVg,Rd11Bosr8JkfoUhZLzpuxg,5
28,3wB-JjsUjkvdNUDRnChsVg,1DP5vHxJzCDbgawv0WC3yA,5
29,3wB-JjsUjkvdNUDRnChsVg,eoHdUeQDNgQ6WYEnP2aiRw,3
30,3wB-JjsUjkvdNUDRnChsVg,LFs5jyYdXlzi0SpAYi1eSA,3
31,3wB-JjsUjkvdNUDRnChsVg,XZbuPXdyA0ZtTu3AzqtQhg,5
32,3wB-JjsUjkvdNUDRnChsVg,e13SEvJud_vgeDR_doL4sQ,3
33,3wB-JjsUjkvdNUDRnChsVg,Y-S2LhHefBdnX8VP5Bh_JA,2
34,3wB-JjsUjkvdNUDRnChsVg,Cr4ipI-tr-R8Q0NilkWNkA,4
35,3wB-JjsUjkvdNUDRnChsVg,MAuSh7NKoT__CQ4BumoayA,4
36,3wB-JjsUjkvdNUDRnChsVg,El4FC8jcawUVgw_0EIcbaQ,4
37,3wB-JjsUjkvdNUDRnChsVg,klddGAcNIpE_aB5sd1hNXw,3
38,3wB-JjsUjkvdNUDRnChsVg,LwQB9H3jZ9wTk24Lr-AnZQ,5
40,3wB-JjsUjkvdNUDRnChsVg,VsewHMsfj1Mgsl2i_hio7w,4
41,3wB-JjsUjkvdNUDRnChsVg,AT_xDv2Lm5K7VtER1fp-SA,4
42,3wB-JjsUjkvdNUDRnChsVg,VGWEpMEkzQopS5lUNd06Sw,2
43,3wB-JjsUjkvdNUDRnChsVg,pKk7jCFIm96qDdk0laVT2w,4
44,3wB-JjsUjkvdNUDRnChsVg,ECOkEVUodMLUxvI0PMI4gQ,3
45,3wB-JjsUjkvdNUDRnChsVg,YhCAJ8acd1X7GkCHPhD8Xw,4
47,3wB-JjsUjkvdNUDRnChsVg,dWk0mbhj79pK3WBp5oLtpw,2
48,3wB-JjsUjkvdNUDRnChsVg,iCQpiavjjPzJ5_3gPD5Ebg,4
49,3wB-JjsUjkvdNUDRnChsVg,a0v7Si0DK4cIko7AQY4YXg,4
50,3wB-JjsUjkvdNUDRnChsVg,GI-CAiZ_Gg3h21PwrANB4Q,5
51,3wB-JjsUjkvdNUDRnChsVg,pLMPpaJ7whp86uL_3ezwMg,4
52,3wB-JjsUjkvdNUDRnChsVg,G-5kEa6E6PD5fkBRuA7k9Q,4
55,fExL6u06xTSg13k945IPAQ,N0apJkxIem2E8irTBRKnHw,4
56,fExL6u06xTSg13k945IPAQ,AjWFFZN8KwyqJzzi0DyEsw,1
57,fExL6u06xTSg13k945IPAQ,El4FC8jcawUVgw_0EIcbaQ,4
58,fVh5YZ4acN8mLqJBS8Q_Kg,rtlsfmdufArhk-47sWIf2w,1
59,fVh5YZ4acN8mLqJBS8Q_Kg,Cni2l-VKG_pdospJ6xliXQ,4
60,fVh5YZ4acN8mLqJBS8Q_Kg,GTR39A2jwNIS_NV8q2r_JA,4
62,Hm0diOkWwpo9zotlJlqMUQ,IWN2heYitkg-D4UdqfxcMA,4
63,Hm0diOkWwpo9zotlJlqMUQ,q18xbq3Cbyp_BJyfMQxFxg,5
64,Hm0diOkWwpo9zotlJlqMUQ,EAwh1OmG6t6p3nRaZOW_AA,4
65,Hm0diOkWwpo9zotlJlqMUQ,ZkGDCVKSdf8m76cnnalL-A,4
66,Hm0diOkWwpo9zotlJlqMUQ,-yApKLEFAvvNyifvpNKWCA,5
67,UVxY0iyPaqY7s4BSFtt-xA,_j2EtQtgLuXGRBfbM5YwZA,3
69,UVxY0iyPaqY7s4BSFtt-xA,rvnTFEq7R2ZHg0_CYbBNFw,3
71,UVxY0iyPaqY7s4BSFtt-xA,RNi6tW22UMgHwWLAb0mYdA,4
72,UVxY0iyPaqY7s4BSFtt-xA,LFs5jyYdXlzi0SpAYi1eSA,3
73,UVxY0iyPaqY7s4BSFtt-xA,d4qwVw4PcN-_2mK2o1Ro1g,3
74,UVxY0iyPaqY7s4BSFtt-xA,j5nPiTwWEFr-VsePew7Sjg,5
77,3EAHMMsNnN4rrQVPPuzdnw,yfxDa8RFOvJPQh0rNtakHA,3
79,3EAHMMsNnN4rrQVPPuzdnw,K7lWdNUhCbcnEvI0NhGewg,5
80,3EAHMMsNnN4rrQVPPuzdnw,KskYqH1Bi7Z_61pH6Om8pg,4
81,w-hrD3-YJXbDUlvBwrpWtA,H8qpFitIesth86zqR4cwYg,5
82,w-hrD3-YJXbDUlvBwrpWtA,umXvdus9LbC6oxtLdXelFQ,5
84,w-hrD3-YJXbDUlvBwrpWtA,XnJeadLrlj9AZB8qSdIR2Q,5
85,w-hrD3-YJXbDUlvBwrpWtA,L_ZLtfHvfzfoNVQ0-okTXg,4
86,w-hrD3-YJXbDUlvBwrpWtA,SsN-SaGGkJn2Qm-jSDQ4aQ,2
87,w-hrD3-YJXbDUlvBwrpWtA,QJatAcxYgK1Zp9BRZMAx7g,5
89,w-hrD3-YJXbDUlvBwrpWtA,K7lWdNUhCbcnEvI0NhGewg,3
91,w-hrD3-YJXbDUlvBwrpWtA,K0j_Znzin0jShXVnpvW86A,4
93,w-hrD3-YJXbDUlvBwrpWtA,DkYS3arLOhA8si5uUEmHOw,5
94,w-hrD3-YJXbDUlvBwrpWtA,j5nPiTwWEFr-VsePew7Sjg,3
95,w-hrD3-YJXbDUlvBwrpWtA,mUdalYTuAtnZm2K9zoH27Q,5
97,w-hrD3-YJXbDUlvBwrpWtA,AyEtowSGi9vx0-xFfrgjWw,4
98,w-hrD3-YJXbDUlvBwrpWtA,GTR39A2jwNIS_NV8q2r_JA,3
99,w-hrD3-YJXbDUlvBwrpWtA,aT_SsfZ6GQgJGyuIv1Hapw,3
100,m8nDqQ7a3zQWfkNK1_vwnQ,pKk7jCFIm96qDdk0laVT2w,5
101,m8nDqQ7a3zQWfkNK1_vwnQ,YuiM5VKscO8rS1EX7f19_g,4
103,m8nDqQ7a3zQWfkNK1_vwnQ,UYh1N1xQhOh-a7nX92xPzQ,4
104,-hxUwfo3cMnLTv-CAaP69A,3Gt3xskppi9jZuTrwrhLNg,5
105,-hxUwfo3cMnLTv-CAaP69A,_w5hBpkjHs5_Hv3pLeHtIw,4
107,-hxUwfo3cMnLTv-CAaP69A,H8qpFitIesth86zqR4cwYg,5
108,-hxUwfo3cMnLTv-CAaP69A,KXITXbKuE60WSUDs7NZVLQ,2
109,-hxUwfo3cMnLTv-CAaP69A,QJR4qBUHegWEozSQrGmBPw,2
110,-hxUwfo3cMnLTv-CAaP69A,OVTZNSkSfbl3gVB9XQIJfw,2
111,-hxUwfo3cMnLTv-CAaP69A,ujHiaprwCQ5ewziu0Vi9rw,2
112,-hxUwfo3cMnLTv-CAaP69A,pH0BLkL4cbxKzu471VZnuA,3
113,-hxUwfo3cMnLTv-CAaP69A,R6jpwPBe9edy0P64uyaLKA,4
114,-hxUwfo3cMnLTv-CAaP69A,MAuSh7NKoT__CQ4BumoayA,4
115,-hxUwfo3cMnLTv-CAaP69A,wPiRP76arN0NB3M1ZXXp7g,3
116,-hxUwfo3cMnLTv-CAaP69A,P7pxQFqr7yBKMMI2J51udw,5
117,-hxUwfo3cMnLTv-CAaP69A,VsewHMsfj1Mgsl2i_hio7w,4
118,-hxUwfo3cMnLTv-CAaP69A,aT_SsfZ6GQgJGyuIv1Hapw,3
119,-hxUwfo3cMnLTv-CAaP69A,YhCAJ8acd1X7GkCHPhD8Xw,3
125,IS9yw8P2uAPBX6FNLLX4KA,RESDUcs7fIiihp38-d6_6g,4
126,zoyb93pskMhDgXZgv-DKtA,vx4YAA02Qz6khRD1fZ1MFA,4
127,zoyb93pskMhDgXZgv-DKtA,4k3RlMAMd46DZ_JyZU0lMg,3
128,zoyb93pskMhDgXZgv-DKtA,_j2EtQtgLuXGRBfbM5YwZA,4
129,zoyb93pskMhDgXZgv-DKtA,yfxDa8RFOvJPQh0rNtakHA,3
130,zoyb93pskMhDgXZgv-DKtA,UNI1agsPX2k3eJSJVB91nw,4
131,zoyb93pskMhDgXZgv-DKtA,UPIYuRaZvknINOd1w8kqRQ,5
133,zoyb93pskMhDgXZgv-DKtA,wPiRP76arN0NB3M1ZXXp7g,3
135,zoyb93pskMhDgXZgv-DKtA,zcScEL0WEdFkROcnz5379g,4
138,zoyb93pskMhDgXZgv-DKtA,ZAuAwz1ijuydn5yL3q3rzA,5
139,zoyb93pskMhDgXZgv-DKtA,eZcCFV-8X91ZSnmB9807bw,4
140,zoyb93pskMhDgXZgv-DKtA,0WoQQlMXVIDEgI0xNdENKA,2
141,zoyb93pskMhDgXZgv-DKtA,YhCAJ8acd1X7GkCHPhD8Xw,4
142,zoyb93pskMhDgXZgv-DKtA,esBRj9uPRzwxaW4Lz1XGLA,3
143,zoyb93pskMhDgXZgv-DKtA,g8OnV26ywJlZpezdBnOWUQ,4
144,zoyb93pskMhDgXZgv-DKtA,364hhL5st0LV16UcBHRJ3A,2
145,l0-VQ8nA_oijpKlRB7dkow,xkVMIk_Vqh17f48ZQ_6b0w,5
146,l0-VQ8nA_oijpKlRB7dkow,R3TC2oq8fQK9c9BNMZ-ynA,4
147,l0-VQ8nA_oijpKlRB7dkow,VUtazCTIc0aoOrQprP_s-Q,3
148,l0-VQ8nA_oijpKlRB7dkow,pH0BLkL4cbxKzu471VZnuA,4
149,l0-VQ8nA_oijpKlRB7dkow,xVEtGucSRLk5pxxN0t4i6g,4
152,DQYMtGFO1-DUGB0yX3a4Qg,Cni2l-VKG_pdospJ6xliXQ,4
153,YIMeEHUYm69m-Mqf-NjPHw,vx4YAA02Qz6khRD1fZ1MFA,2
154,YIMeEHUYm69m-Mqf-NjPHw,sqRX-XLlhx4rs2c1TpBf8A,3
155,YIMeEHUYm69m-Mqf-NjPHw,4k3RlMAMd46DZ_JyZU0lMg,4
156,YIMeEHUYm69m-Mqf-NjPHw,VG0nWxGsPixYLsyi49gyxQ,5
157,YIMeEHUYm69m-Mqf-NjPHw,umXvdus9LbC6oxtLdXelFQ,4
159,YIMeEHUYm69m-Mqf-NjPHw,3Gt3xskppi9jZuTrwrhLNg,4
160,YIMeEHUYm69m-Mqf-NjPHw,UNI1agsPX2k3eJSJVB91nw,4
161,YIMeEHUYm69m-Mqf-NjPHw,oXoVJ0xKv82cBo9U6oEjlQ,2
162,YIMeEHUYm69m-Mqf-NjPHw,A0X1baHPgw9IiBRivu0G9g,4
163,YIMeEHUYm69m-Mqf-NjPHw,UidEFF1WpnU4duev4fjPlQ,4
164,YIMeEHUYm69m-Mqf-NjPHw,uWECX6-Uq9n8v5ipk9R29A,3
165,YIMeEHUYm69m-Mqf-NjPHw,UMqfeCItzQ2glr4d9apGlA,4
167,YIMeEHUYm69m-Mqf-NjPHw,YuiM5VKscO8rS1EX7f19_g,4
169,YIMeEHUYm69m-Mqf-NjPHw,QJatAcxYgK1Zp9BRZMAx7g,4
170,YIMeEHUYm69m-Mqf-NjPHw,wWuGa3OOQJro_XGe-GKBXA,5
171,YIMeEHUYm69m-Mqf-NjPHw,IMLrj2klosTFvPRLv56cng,3
172,YIMeEHUYm69m-Mqf-NjPHw,W8apgXmOxESpoL_EeogC5w,4
174,YIMeEHUYm69m-Mqf-NjPHw,xkVMIk_Vqh17f48ZQ_6b0w,5
175,YIMeEHUYm69m-Mqf-NjPHw,riFzCvp77DMKDX-5GoTpqA,4
177,YIMeEHUYm69m-Mqf-NjPHw,TCWMgOiV0PxQkWE1SyBIWQ,5
179,YIMeEHUYm69m-Mqf-NjPHw,Z5eukYH32_nFljOTC2DJ0g,4
180,YIMeEHUYm69m-Mqf-NjPHw,zwNC-Ow4eIMan2__bS9-rg,4
181,YIMeEHUYm69m-Mqf-NjPHw,-ed0Yc9on37RoIoG2ZgxBA,3
183,YIMeEHUYm69m-Mqf-NjPHw,rioQ_p2pILNbJ4Xp5jW6-Q,4
185,YIMeEHUYm69m-Mqf-NjPHw,ID5wWJ9C7G0hfbQilvlfxA,4
187,YIMeEHUYm69m-Mqf-NjPHw,HgdFqAvK31fB9sgBdOzo9g,4
188,YIMeEHUYm69m-Mqf-NjPHw,yNVcnSaMSrTmjJBMrHTy9w,2
189,YIMeEHUYm69m-Mqf-NjPHw,K7fip0nDFFdCC7OCnNOotQ,4
190,YIMeEHUYm69m-Mqf-NjPHw,Qihead6oTtWCwde3TBqlGg,4
191,YIMeEHUYm69m-Mqf-NjPHw,0EgYXYjt2XJL4hlsKnzrcw,4
192,YIMeEHUYm69m-Mqf-NjPHw,1ZnVfS-qP19upP_fwOhZsA,3
193,YIMeEHUYm69m-Mqf-NjPHw,I6EDDi4-Eq_XlFghcDCUhw,5
195,YIMeEHUYm69m-Mqf-NjPHw,UTXNr62dGSK-tet8OeXUcQ,2
198,YIMeEHUYm69m-Mqf-NjPHw,lTixk1IT-D4hoMZ6LgoyHQ,4
199,YIMeEHUYm69m-Mqf-NjPHw,sNVGdeOPeitJ3OWUQBINzQ,4
202,YIMeEHUYm69m-Mqf-NjPHw,l_GV0hgEoTUf70uJVT0_hg,5
203,YIMeEHUYm69m-Mqf-NjPHw,7sPNbCx7vGAaH7SbNPZ6oA,5
204,YIMeEHUYm69m-Mqf-NjPHw,3BCsAgo_1i4xMuTyLKMLRQ,4
205,YIMeEHUYm69m-Mqf-NjPHw,CoyeXg8FBsS_d20QzNIy-A,4
206,YIMeEHUYm69m-Mqf-NjPHw,A-uZAD4zP3rRxb44WUGV5w,5
207,YIMeEHUYm69m-Mqf-NjPHw,bSY97kgQpJ5BrpgW40V1qg,4
209,YIMeEHUYm69m-Mqf-NjPHw,mUdalYTuAtnZm2K9zoH27Q,5
210,YIMeEHUYm69m-Mqf-NjPHw,J4CATH00YZrq8Bne2S4_cw,5
213,YIMeEHUYm69m-Mqf-NjPHw,IhNASEZ3XnBHmuuVnWdIwA,4
214,YIMeEHUYm69m-Mqf-NjPHw,364hhL5st0LV16UcBHRJ3A,4
215,JXHrhT72U6sZJQSkFfNzjw,BjH8Xepc10i6OhCDQdX6og,3
217,JXHrhT72U6sZJQSkFfNzjw,CCRgGKhzxSpl38w7yhqKUw,2
219,JXHrhT72U6sZJQSkFfNzjw,BEplfZTUzYwApjMUaOA12w,3
220,JXHrhT72U6sZJQSkFfNzjw,QJR4qBUHegWEozSQrGmBPw,4
221,JXHrhT72U6sZJQSkFfNzjw,KVsv8wRGnLX8QWoNZKNMQA,2
222,JXHrhT72U6sZJQSkFfNzjw,Mh84_j7YmRrAcm0DWV4bUw,5
223,JXHrhT72U6sZJQSkFfNzjw,O_C-2kZMHGnq3ZDL_OaG6Q,3
225,JXHrhT72U6sZJQSkFfNzjw,UNI1agsPX2k3eJSJVB91nw,4
226,JXHrhT72U6sZJQSkFfNzjw,f_eiOrEcMnkHB7GvQVOHkQ,3
227,JXHrhT72U6sZJQSkFfNzjw,faPVqws-x-5k2CQKDNtHxw,5
230,JXHrhT72U6sZJQSkFfNzjw,QJatAcxYgK1Zp9BRZMAx7g,3
231,JXHrhT72U6sZJQSkFfNzjw,0NmTwqYEQiKErDv4a55obg,5
234,JXHrhT72U6sZJQSkFfNzjw,_w5hBpkjHs5_Hv3pLeHtIw,4
236,JXHrhT72U6sZJQSkFfNzjw,hRQS8y-uG2kc8miWVYiLuQ,3
239,JXHrhT72U6sZJQSkFfNzjw,UUGoM4q4i8rK2CBRS0xDAw,3
240,JXHrhT72U6sZJQSkFfNzjw,oEkOj9NXJFrjFn3NBB_jpA,4
241,JXHrhT72U6sZJQSkFfNzjw,RNi6tW22UMgHwWLAb0mYdA,4
243,JXHrhT72U6sZJQSkFfNzjw,oDNfrdvMV2Fq0R6vd2XwNw,3
